,Sicoob Central Rondon,,,,,,,,,,,
,,,,,,,,,,,,
"Gerada por Murilo Henrique Jorge Deodati - Admin  Criado em : Feb 18, 2026 08:23 AM",,,,,,,,,,,,
Total de registros : 202,,,,,,,,,,,,
Produto,Local,Fornecedor,Tipo de produto,Associado aos ativos,Nome do ativo,Estado do ativo,Custo de Compra,Departamento,Código de barras,Usuário,Término do empréstimo,ID
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_10_4349_00.scr2008.local,In Store,-,-,-,-,-,638
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_10_4349_05.scr2008.local,In Store,-,-,-,-,-,1879
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_10_4349_08.scr2008.local,In Store,-,-,-,-,-,951
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_110_4349_00.scr2008.local,In Store,-,-,-,-,-,1046
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_111_4349_00.scr2008.local,In Store,-,-,-,-,-,2071
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_113_4349_00.scr2008.local,In Store,-,-,-,-,-,1224
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_114_4349_00.scr2008.local,In Store,-,-,-,-,-,657
Vostro 7620,SICOOB BURITIS,-,Laptop,-,sic_11_4349_00.scr2008.local,In Store,-,-,-,-,-,1065
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_120_4349_00.scr2008.local,In Store,-,-,-,-,-,1027
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_127_4349_00.scr2008.local,In Store,-,-,-,-,-,765
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_12_4349_00.scr2008.local,In Store,-,-,-,-,-,1905
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_12_4349_01.scr2008.local,In Store,-,-,-,-,-,1859
Vostro 3480,SICOOB BURITIS,-,Laptop,-,sic_12_4349_06.scr2008.local,In Store,-,-,-,-,-,2124
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_130_4349_00.scr2008.local,In Store,-,-,-,-,-,869
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_136_4349_00.scr2008.local,In Store,-,-,-,-,-,1015
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_13_4349_00.scr2008.local,In Store,-,-,-,-,-,1911
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_13_4349_02.scr2008.local,In Store,-,-,-,-,-,1848
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_14_4349_00.scr2008.local,In Store,-,-,-,-,-,935
Vostro 3480,SICOOB BURITIS,-,Laptop,-,sic_14_4349_02.scr2008.local,In Store,-,-,-,-,-,1871
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_14_4349_04.scr2008.local,In Store,-,-,-,-,-,1806
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_14_4349_06.scr2008.local,In Store,-,-,-,-,-,712
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_15_4349_00.scr2008.local,In Store,-,-,-,-,-,911
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_15_4349_02.scr2008.local,In Store,-,-,-,-,-,942
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_15_4349_04.scr2008.local,In Store,-,-,-,-,-,1808
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_15_4349_06.scr2008.local,In Store,-,-,-,-,-,716
Vostro 5490,SICOOB BURITIS,-,Laptop,-,sic_16_4349_00.scr2008.local,In Store,-,-,-,-,-,1878
OptiPlex 3050,SICOOB BURITIS,-,Desktop,-,sic_16_4349_06.scr2008.local,In Store,-,-,-,-,-,857
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_17_4349_00.scr2008.local,In Store,-,-,-,-,-,2034
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_17_4349_01.scr2008.local,In Store,-,-,-,-,-,1896
G7 7588,SICOOB BURITIS,-,Laptop,-,sic_18_4349_00.scr2008.local,In Store,-,-,-,-,-,733
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_18_4349_02.scr2008.local,In Store,-,-,-,-,-,1863
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_18_4349_06.scr2008.local,In Store,-,-,-,-,-,784
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_19_4349_02.scr2008.local,In Store,-,-,-,-,-,2059
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_19_4349_06.scr2008.local,In Store,-,-,-,-,-,1883
Vostro 5490,SICOOB BURITIS,-,Laptop,-,sic_20_4349_00.scr2008.local,In Store,-,-,-,-,-,1165
Vostro 3480,SICOOB BURITIS,-,Laptop,-,sic_20_4349_04.scr2008.local,In Store,-,-,-,-,-,2047
Latitude 3520,SICOOB BURITIS,-,Laptop,-,sic_21_4349_00.scr2008.local,In Store,-,-,-,-,-,1190
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_21_4349_04.scr2008.local,In Store,-,-,-,-,-,1810
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_22_4349_00.scr2008.local,In Store,-,-,-,-,-,1035
Vostro 5490,SICOOB BURITIS,-,Laptop,-,sic_23_4349_00.scr2008.local,In Store,-,-,-,-,-,1977
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_23_4349_02.scr2008.local,In Store,-,-,-,-,-,1836
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_24_4349_00.scr2008.local,In Store,-,-,-,-,-,678
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_24_4349_02.scr2008.local,In Store,-,-,-,-,-,2043
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_25_4349_00.scr2008.local,In Store,-,-,-,-,-,721
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_25_4349_02.scr2008.local,In Store,-,-,-,-,-,2054
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_26_4349_00.scr2008.local,In Store,-,-,-,-,-,1870
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_26_4349_02.scr2008.local,In Store,-,-,-,-,-,1904
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_26_4349_06.scr2008.local,In Store,-,-,-,-,-,736
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_27_4349_00.scr2008.local,In Store,-,-,-,-,-,746
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_27_4349_02.scr2008.local,In Store,-,-,-,-,-,1869
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_28_4349_00.scr2008.local,In Store,-,-,-,-,-,837
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_28_4349_02.scr2008.local,In Store,-,-,-,-,-,2037
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_29_4349_00.scr2008.local,In Store,-,-,-,-,-,646
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_29_4349_06.scr2008.local,In Store,-,-,-,-,-,879
