S.No,Computer Name,DNS Name,Operating System,Version
192,SIC_53_4349_00,SIC_53_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
193,SIC_54_4349_00,SIC_54_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
194,SIC_55_4349_00,SIC_55_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
195,SIC_56_4349_00,SIC_56_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
196,SIC_57_4349_00,SIC_57_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
197,SIC_59_4349_00,SIC_59_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
198,SIC_60_4349_00,SIC_60_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
199,SIC_61_4349_00,SIC_61_4349_00.scr2008.local,Windows 10 Pro,10.0 (19044)
200,SIC_62_4349_00,SIC_62_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
201,SIC_63_4349_00,SIC_63_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
202,SIC_64_4349_00,SIC_64_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
203,SIC_65_4349_00,SIC_65_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
204,SIC_66_4349_00,SIC_66_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
205,SIC_67_4349_00,SIC_67_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
206,SIC_68_4349_00,SIC_68_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
207,SIC_69_4349_00,SIC_69_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
208,SIC_70_4349_00,SIC_70_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
209,SIC_71_4349_00,SIC_71_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
210,SIC_72_4349_00,SIC_72_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
211,SIC_73_4349_00,SIC_73_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
212,SIC_74_4349_00,SIC_74_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
213,SIC_75_4349_00,SIC_75_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
214,SIC_76_4349_00,SIC_76_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
215,SIC_77_4349_00,SIC_77_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
216,SIC_78_4349_00,SIC_78_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
217,SIC_79_4349_00,SIC_79_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
218,SIC_81_4349_00,SIC_81_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
